game_zone,logical_utc_day,start_utc_half_hour,hours_to_game_begin,avg_leq,super_bowl_sunday
Game States,2/14/21,6_0,6.5,51.01188705721393,No
Game States,2/7/21,2_1,3,65.37901803064935,Yes
Game States,2/14/21,3_0,3.5,61.849976210494205,No
Game States,2/14/21,7_0,7.5,49.12005774077253,No
Game States,2/14/21,2_1,3,62.716979731693684,No
Game States,2/7/21,22_1,-1,67.67447171,Yes
Game States,2/7/21,21_0,-2.5,66.36131643423424,Yes
Game States,2/7/21,21_1,-2,66.80681438952972,Yes
Game States,2/7/21,1_0,1.5,68.08555889816513,Yes
Game States,2/14/21,23_1,0,67.33235678590664,No
Game States,2/7/21,23_1,0,68.82771472349823,Yes
Game States,2/7/21,9_0,9.5,48.74639568457539,Yes
Game States,2/14/21,22_1,-1,67.04225421638468,No
Game States,2/14/21,18_1,-5,66.72269448734177,No
Game States,2/14/21,20_0,-3.5,66.37166670248668,No
Game States,2/7/21,5_1,6,51.98885181818182,Yes
Game States,2/7/21,6_0,6.5,50.85296887394247,Yes
Game States,2/7/21,3_1,4,62.08331754108723,Yes
Game States,2/14/21,2_0,2.5,63.909341711669285,No
Game States,2/7/21,20_1,-3,66.11021717443946,Yes
Game States,2/14/21,22_0,-1.5,66.58585999247121,No
Game States,2/14/21,17_1,-6,67.17108533504194,No
Game States,2/14/21,18_0,-5.5,67.03285914580468,No
Game States,2/7/21,6_1,7,49.54821921003401,Yes
Game States,2/14/21,5_0,5.5,54.20075581711146,No
Game States,2/14/21,19_0,-4.5,66.71581122,No
Game States,2/14/21,6_1,7,50.01104498137172,No
Game States,2/14/21,21_0,-2.5,65.90163878891353,No
Game States,2/14/21,5_1,6,52.54007956945573,No
Game States,2/14/21,23_0,-0.5,67.32262408433735,No
Game States,2/7/21,4_1,5,56.04553630100853,Yes
Game States,2/14/21,4_1,5,56.28589372164179,No
Game States,2/7/21,1_1,2,67.56106660754718,Yes
Game States,2/14/21,8_0,8.5,49.03703519204738,No
Game States,2/14/21,1_0,1.5,66.13804534695818,No
Game States,2/7/21,7_1,8,48.43192727792208,Yes
