game_zone,logical_utc_day,start_utc_half_hour,hours_to_game_begin,avg_leq,super_bowl_sunday
Non-game States,2/20/22,5_0,5.5,55.94318113,No
Non-game States,2/13/22,21_0,-2.5,66.17606642,Yes
Non-game States,2/13/22,19_1,-4,66.35832916,Yes
Non-game States,2/13/22,6_0,6.5,52.35821321,Yes
Non-game States,2/20/22,22_0,-1.5,66.77361727,No
Non-game States,2/20/22,4_0,4.5,59.27824755,No
Non-game States,2/13/22,2_0,2.5,66.11775265,Yes
Non-game States,2/20/22,21_0,-2.5,66.72573126,No
Non-game States,2/20/22,20_0,-3.5,66.82716731,No
Non-game States,2/20/22,2_1,3,63.34844753,No
Non-game States,2/13/22,22_0,-1.5,66.76170241,Yes
Non-game States,2/13/22,4_0,4.5,59.75727306,Yes
Game States,2/20/22,0_1,1,66.38365014,No
Non-game States,2/13/22,18_0,-5.5,66.63452547,Yes
Game States,2/13/22,3_0,3.5,67.9202091,Yes
Game States,2/20/22,23_0,-0.5,66.6259082,No
Non-game States,2/20/22,4_1,5,57.59728891,No
Non-game States,2/13/22,3_0,3.5,64.77353416,Yes
Non-game States,2/20/22,8_0,8.5,49.48997266,No
Non-game States,2/13/22,21_1,-2,66.40305447,Yes
Non-game States,2/20/22,7_0,7.5,50.70546991,No
Game States,2/20/22,8_1,9,50.5102814,No
Non-game States,2/20/22,1_0,1.5,65.97745421,No
Non-game States,2/13/22,1_0,1.5,67.77953961,Yes
Non-game States,2/13/22,20_0,-3.5,66.29784193,Yes
Non-game States,2/20/22,19_0,-4.5,66.97197636,No
Non-game States,2/20/22,2_0,2.5,64.41054319,No
Game States,2/13/22,1_0,1.5,68.68517624,Yes
Game States,2/20/22,3_1,4,64.9157498,No
Non-game States,2/13/22,3_1,4,62.13727852,Yes
Non-game States,2/20/22,18_0,-5.5,67.02806662,No
Non-game States,2/20/22,19_1,-4,66.885227,No
Non-game States,2/20/22,20_1,-3,66.722821,No
Game States,2/13/22,21_0,-2.5,67.26694029,Yes
Game States,2/13/22,18_1,-5,66.60948068,Yes
Non-game States,2/13/22,20_1,-3,66.20807905,Yes
Non-game States,2/20/22,3_1,4,60.99695582,No
Game States,2/20/22,20_0,-3.5,67.14695569,No
Game States,2/20/22,8_0,8.5,51.63112877,No
Non-game States,2/13/22,5_0,5.5,55.47014125,Yes
Non-game States,2/20/22,23_1,0,67.10935286,No
Non-game States,2/13/22,0_1,1,67.82579465,Yes
Non-game States,2/13/22,22_1,-1,67.30966583,Yes
Game States,2/13/22,4_1,5,62.668635,Yes
Game States,2/20/22,19_1,-4,67.04912152,No
Non-game States,2/13/22,23_0,-0.5,67.88527038,Yes
Non-game States,2/13/22,17_1,-6,66.4623878,Yes
Non-game States,2/20/22,0_1,1,66.55815241,No
Game States,2/13/22,5_1,6,59.24590564,Yes
Game States,2/13/22,6_1,7,55.39001701,Yes
Game States,2/13/22,0_0,0.5,68.47008557,Yes
Non-game States,2/20/22,22_1,-1,66.85084628,No
Non-game States,2/13/22,2_1,3,65.63720041,Yes
Non-game States,2/20/22,23_0,-0.5,67.09035638,No
Game States,2/20/22,5_0,5.5,61.29561324,No
Game States,2/13/22,19_0,-4.5,67.00697075,Yes
Non-game States,2/13/22,8_1,9,49.04906907,Yes
Non-game States,2/20/22,3_0,3.5,62.37559225,No
Game States,2/13/22,7_0,7.5,54.02542693,Yes
Game States,2/20/22,17_1,-6,65.19211964,No
Non-game States,2/13/22,19_0,-4.5,66.47900642,Yes
Non-game States,2/13/22,9_0,9.5,48.98692809,Yes
Non-game States,2/13/22,1_1,2,67.63870641,Yes
Game States,2/20/22,9_0,9.5,49.53874393,No
Game States,2/20/22,4_0,4.5,63.80532284,No
Non-game States,2/20/22,18_1,-5,67.02639213,No
Game States,2/13/22,17_1,-6,65.6776949,Yes
Non-game States,2/13/22,0_0,0.5,68.13851796,Yes
Game States,2/20/22,0_0,0.5,66.45720598,No
Non-game States,2/20/22,1_1,2,65.24290122,No
Non-game States,2/20/22,6_1,7,51.74200629,No
Game States,2/20/22,2_1,3,66.0903949,No
Game States,2/20/22,21_0,-2.5,66.99431773,No
Non-game States,2/13/22,7_1,8,49.68640792,Yes
Game States,2/20/22,21_1,-2,67.01870889,No
Game States,2/13/22,20_0,-3.5,67.2658615,Yes
Non-game States,2/20/22,8_1,9,49.15188615,No
Non-game States,2/13/22,4_1,5,57.66978878,Yes
Game States,2/20/22,1_0,1.5,66.49371226,No
Non-game States,2/20/22,9_0,9.5,49.06003471,No
Non-game States,2/20/22,7_1,8,50.02717959,No
Game States,2/13/22,6_0,6.5,57.63601312,Yes
Non-game States,2/13/22,8_0,8.5,49.24967878,Yes
Game States,2/13/22,2_1,3,68.68146416,Yes
Game States,2/20/22,3_0,3.5,65.60984841,No
Game States,2/13/22,1_1,2,69.18995309,Yes
Game States,2/20/22,22_1,-1,66.71575324,No
Game States,2/13/22,2_0,2.5,68.19250029,Yes
Non-game States,2/13/22,23_1,0,68.03817654,Yes
Non-game States,2/20/22,6_0,6.5,52.88967631,No
Non-game States,2/20/22,5_1,6,54.25358766,No
Non-game States,2/20/22,0_0,0.5,66.96338977,No
Game States,2/20/22,18_1,-5,66.49964821,No
Non-game States,2/13/22,5_1,6,53.72644482,Yes
Game States,2/20/22,6_0,6.5,58.4838294,No
Game States,2/20/22,22_0,-1.5,66.84910582,No
Game States,2/13/22,5_0,5.5,61.09162173,Yes
Non-game States,2/13/22,18_1,-5,66.57898349,Yes
Game States,2/13/22,8_1,9,49.78880075,Yes
Non-game States,2/13/22,6_1,7,51.19761651,Yes
Non-game States,2/20/22,17_1,-6,66.85953158,No
Game States,2/20/22,5_1,6,59.90713302,No
Non-game States,2/20/22,21_1,-2,66.64443616,No
Game States,2/20/22,7_0,7.5,54.9184405,No
Non-game States,2/13/22,7_0,7.5,50.28403495,Yes
Game States,2/20/22,20_1,-3,67.08416125,No
Game States,2/13/22,3_1,4,65.85580816,Yes
Game States,2/13/22,22_0,-1.5,67.17371557,Yes
Game States,2/13/22,20_1,-3,67.15035698,Yes
Game States,2/20/22,1_1,2,66.47358422,No
Game States,2/13/22,9_0,9.5,49.12924304,Yes
Game States,2/13/22,22_1,-1,67.52673699,Yes
Game States,2/13/22,23_1,0,68.29097447,Yes
Game States,2/20/22,6_1,7,56.64199043,No
Game States,2/13/22,8_0,8.5,50.65057876,Yes
Game States,2/13/22,4_0,4.5,64.26061262,Yes
Game States,2/20/22,2_0,2.5,66.38313355,No
Game States,2/20/22,23_1,0,66.50474468,No
Game States,2/13/22,19_1,-4,67.15393266,Yes
Game States,2/13/22,7_1,8,52.21099262,Yes
Game States,2/13/22,23_0,-0.5,67.93233567,Yes
Game States,2/13/22,0_1,1,68.46016893,Yes
Game States,2/13/22,18_0,-5.5,66.27598761,Yes
Game States,2/20/22,4_1,5,62.54974077,No
Game States,2/20/22,19_0,-4.5,66.89248222,No
Game States,2/13/22,21_1,-2,67.15526399,Yes
Game States,2/20/22,18_0,-5.5,65.9337505,No
Game States,2/20/22,7_1,8,53.16765757,No
