game_zone,logical_utc_day,start_utc_half_hour,hours_to_game_begin,avg_leq,super_bowl_sunday
Non-game States,2/11/24,17_1,-6,66.84752286,Yes
Non-game States,2/11/24,0_1,1,68.36110140803123,Yes
Non-game States,2/11/24,8_0,8.5,49.47409842201453,Yes
Game States,2/11/24,18_0,-5.5,66.24472230204081,Yes
Non-game States,2/18/24,1_0,1.5,65.77156157,No
Non-game States,2/18/24,21_1,-2,66.21641621723975,No
Non-game States,2/11/24,20_0,-3.5,66.31262637079281,Yes
Game States,2/18/24,22_0,-1.5,66.57495349073143,No
Non-game States,2/18/24,2_0,2.5,64.11393807680645,No
Non-game States,2/11/24,21_0,-2.5,66.30331861502452,Yes
Non-game States,2/11/24,23_1,0,68.37556982006335,Yes
Non-game States,2/18/24,0_1,1,66.31999313647283,No
Non-game States,2/18/24,3_1,4,60.210475005270744,No
Game States,2/18/24,1_1,2,66.63340606136497,No
Non-game States,2/18/24,1_1,2,65.02132740447954,No
Non-game States,2/18/24,7_1,8,50.22013536028971,No
Non-game States,2/18/24,6_1,7,51.43605461813613,No
Non-game States,2/11/24,5_0,5.5,55.64029617229878,Yes
Non-game States,2/11/24,18_1,-5,66.73982342,Yes
Non-game States,2/18/24,22_0,-1.5,66.44749687236394,No
Non-game States,2/18/24,22_1,-1,66.60567030348122,No
Game States,2/11/24,0_1,1,69.73863410414971,Yes
Non-game States,2/11/24,19_0,-4.5,66.64259466714046,Yes
Non-game States,2/11/24,2_1,3,65.78948937,Yes
Non-game States,2/18/24,21_0,-2.5,66.21546881382389,No
Game States,2/11/24,22_0,-1.5,67.24362592,Yes
Non-game States,2/18/24,9_0,9.5,49.62478462622753,No
Game States,2/18/24,8_0,8.5,51.951084237932605,No
Game States,2/11/24,23_1,0,68.87292294948945,Yes
Game States,2/18/24,23_1,0,66.18900025100287,No
Non-game States,2/11/24,22_0,-1.5,66.96056145418768,Yes
Non-game States,2/11/24,21_1,-2,66.43201437168904,Yes
Game States,2/11/24,20_1,-3,67.36055152673993,Yes
Non-game States,2/18/24,4_1,5,56.94561843457048,No
Non-game States,2/11/24,3_0,3.5,65.16330115984178,Yes
Game States,2/18/24,6_1,7,56.581682722210275,No
Non-game States,2/18/24,0_0,0.5,66.73373892330835,No
Game States,2/18/24,4_1,5,62.979473858724305,No
Non-game States,2/11/24,19_1,-4,66.40577998817353,Yes
Game States,2/11/24,21_0,-2.5,67.16102660663852,Yes
Non-game States,2/18/24,2_1,3,62.943728051288126,No
Non-game States,2/18/24,8_0,8.5,49.86013021790118,No
Non-game States,2/11/24,4_1,5,58.09773496492259,Yes
Non-game States,2/11/24,5_1,6,53.73494647,Yes
Game States,2/11/24,22_1,-1,67.50317062119933,Yes
Non-game States,2/18/24,5_0,5.5,55.265363744546946,No
Game States,2/11/24,4_1,5,64.41109648737024,Yes
Non-game States,2/11/24,1_0,1.5,67.80545024604369,Yes
Game States,2/18/24,20_0,-3.5,67.34166829446758,No
Game States,2/11/24,0_0,0.5,69.66081628,Yes
Non-game States,2/11/24,22_1,-1,67.51006477708236,Yes
Non-game States,2/18/24,3_0,3.5,61.68400306580502,No
Non-game States,2/11/24,23_0,-0.5,68.16361024,Yes
Non-game States,2/18/24,23_1,0,66.83674316354983,No
Game States,2/18/24,6_0,6.5,58.59505145217034,No
Non-game States,2/11/24,2_0,2.5,66.88045196717354,Yes
Non-game States,2/18/24,4_0,4.5,58.663113179804924,No
Non-game States,2/11/24,0_0,0.5,68.68994300253556,Yes
Non-game States,2/18/24,8_1,9,49.64337494746595,No
Non-game States,2/18/24,18_0,-5.5,66.82116041,No
Game States,2/11/24,7_1,8,52.273282130843214,Yes
Non-game States,2/11/24,7_1,8,49.75722116865747,Yes
Non-game States,2/18/24,5_1,6,53.758509020732944,No
Non-game States,2/11/24,1_1,2,67.85516795216301,Yes
Non-game States,2/11/24,3_1,4,65.13219006998152,Yes
Non-game States,2/18/24,19_0,-4.5,66.62238466465138,No
Game States,2/18/24,18_0,-5.5,65.94639203915062,No
Non-game States,2/11/24,18_0,-5.5,66.91229365329605,Yes
Game States,2/11/24,20_0,-3.5,67.36031730821614,Yes
Non-game States,2/18/24,6_0,6.5,52.44025492788938,No
Non-game States,2/18/24,20_0,-3.5,66.32784149322704,No
Non-game States,2/18/24,23_0,-0.5,66.89091228844873,No
Non-game States,2/11/24,4_0,4.5,61.73792092966444,Yes
Non-game States,2/18/24,19_1,-4,66.44457892299927,No
Game States,2/11/24,5_0,5.5,62.231240465361445,Yes
Game States,2/11/24,3_0,3.5,69.62688197211897,Yes
Non-game States,2/11/24,20_1,-3,66.24952778,Yes
Non-game States,2/18/24,18_1,-5,66.73516424536467,No
Game States,2/18/24,2_0,2.5,66.87033214757281,No
Game States,2/18/24,20_1,-3,67.30148019325019,No
Non-game States,2/11/24,6_1,7,51.14228295183361,Yes
Game States,2/11/24,21_1,-2,67.23392590927419,Yes
Non-game States,2/18/24,17_1,-6,66.74902528223619,No
Game States,2/18/24,22_1,-1,66.32688189222843,No
Game States,2/11/24,4_0,4.5,66.90473100633814,Yes
Game States,2/18/24,3_0,3.5,66.00216980559875,No
Non-game States,2/18/24,20_1,-3,66.26416018374323,No
Non-game States,2/11/24,6_0,6.5,52.22691528699592,Yes
Game States,2/11/24,9_0,9.5,49.597956598368086,Yes
Game States,2/11/24,2_0,2.5,69.65405141405495,Yes
Game States,2/18/24,21_0,-2.5,67.14825571237458,No
Non-game States,2/11/24,9_0,9.5,49.42483852530065,Yes
Game States,2/18/24,19_1,-4,67.33558064510754,No
Game States,2/11/24,6_1,7,55.7448902,Yes
Game States,2/18/24,2_1,3,66.45582455774519,No
Game States,2/18/24,8_1,9,50.92518535679555,No
Game States,2/18/24,21_1,-2,67.02900526695589,No
Game States,2/11/24,5_1,6,60.027788363982374,Yes
Game States,2/11/24,6_0,6.5,57.80316365841895,Yes
Game States,2/11/24,19_1,-4,67.19737525,Yes
Non-game States,2/18/24,7_0,7.5,50.75310308615059,No
Game States,2/18/24,5_1,6,60.41549316129032,No
Game States,2/11/24,18_1,-5,66.57883153276218,Yes
Game States,2/11/24,3_1,4,70.03662907810198,Yes
Game States,2/11/24,2_1,3,69.91110965016826,Yes
Non-game States,2/11/24,7_0,7.5,50.31806021414457,Yes
Game States,2/18/24,17_1,-6,65.01935420414507,No
Game States,2/18/24,9_0,9.5,50.174636403443465,No
Game States,2/18/24,0_0,0.5,66.13666870740103,No
Game States,2/11/24,1_0,1.5,69.24632033337888,Yes
Game States,2/11/24,7_0,7.5,53.85268077511643,Yes
Game States,2/11/24,19_0,-4.5,66.85575960592432,Yes
Game States,2/18/24,1_0,1.5,66.53848559719613,No
Game States,2/18/24,3_1,4,65.14422545,No
Game States,2/11/24,23_0,-0.5,68.22807804688584,Yes
Game States,2/18/24,5_0,5.5,61.74434509850305,No
Non-game States,2/11/24,8_1,9,49.32409903040384,Yes
Game States,2/18/24,19_0,-4.5,67.08489449745174,No
Game States,2/11/24,1_1,2,69.86545372945864,Yes
Game States,2/11/24,8_1,9,50.36160375544465,Yes
Game States,2/18/24,23_0,-0.5,66.25629371434721,No
Game States,2/18/24,7_0,7.5,54.89432127193957,No
Game States,2/18/24,0_1,1,66.34985650842818,No
Game States,2/11/24,17_1,-6,65.33711995686873,Yes
Game States,2/18/24,4_0,4.5,64.23651679075996,No
Game States,2/18/24,7_1,8,53.17853462,No
Game States,2/18/24,18_1,-5,66.46123895,No
Game States,2/11/24,8_0,8.5,50.9742017,Yes
