game_zone,logical_utc_day,start_utc_half_hour,hours_to_game_begin,avg_leq,super_bowl_sunday
Non-game States,2/12/23,20_1,-3,66.57627833615736,Yes
Non-game States,2/12/23,19_1,-4,66.71250019179767,Yes
Non-game States,2/12/23,7_0,7.5,50.888242411663384,Yes
Non-game States,2/19/23,3_0,3.5,62.89402872551398,No
Non-game States,2/19/23,20_0,-3.5,66.97004318685681,No
Non-game States,2/19/23,7_0,7.5,51.50390482937945,No
Non-game States,2/12/23,17_1,-6,66.56981826147555,Yes
Non-game States,2/19/23,21_1,-2,66.80604995890842,No
Non-game States,2/19/23,6_0,6.5,53.88581755599106,No
Non-game States,2/19/23,1_1,2,65.51638639756085,No
Non-game States,2/12/23,22_0,-1.5,66.97034331243711,Yes
Non-game States,2/19/23,2_0,2.5,64.78431007,No
Non-game States,2/12/23,7_1,8,50.12430410102931,Yes
Non-game States,2/12/23,6_1,7,51.826123419673735,Yes
Non-game States,2/19/23,2_1,3,63.87496499699605,No
Non-game States,2/12/23,21_0,-2.5,66.62220804380821,Yes
Game States,2/19/23,4_0,4.5,58.50738242635659,No
Non-game States,2/12/23,18_0,-5.5,66.78961524823366,Yes
Non-game States,2/12/23,22_1,-1,67.39050209767964,Yes
Non-game States,2/19/23,4_1,5,58.48455045570022,No
Non-game States,2/19/23,4_0,4.5,60.10406466911119,No
Non-game States,2/19/23,5_1,6,55.31089140087519,No
Non-game States,2/12/23,8_0,8.5,49.65426862,Yes
Non-game States,2/12/23,1_0,1.5,67.85844705905247,Yes
Non-game States,2/12/23,23_1,0,68.36752809456003,Yes
Non-game States,2/19/23,1_0,1.5,66.13622624661747,No
Non-game States,2/12/23,0_0,0.5,68.47325120650801,Yes
Game States,2/12/23,23_0,-0.5,68.80448807,Yes
Non-game States,2/12/23,8_1,9,49.26309102868632,Yes
Non-game States,2/19/23,19_1,-4,67.03042126275491,No
Non-game States,2/12/23,5_1,6,54.397102037581384,Yes
Non-game States,2/12/23,4_1,5,58.20850583165649,Yes
Non-game States,2/12/23,2_0,2.5,66.66651201948308,Yes
Non-game States,2/12/23,6_0,6.5,53.03794810452418,Yes
Non-game States,2/19/23,22_1,-1,66.98085286163324,No
Non-game States,2/19/23,5_0,5.5,56.95247482,No
Game States,2/19/23,20_0,-3.5,66.66284704116146,No
Non-game States,2/12/23,20_0,-3.5,66.69867437776946,Yes
Non-game States,2/19/23,18_1,-5,67.1241454,No
Non-game States,2/12/23,21_1,-2,66.66166580771029,Yes
Game States,2/19/23,23_1,0,66.89217927721519,No
Non-game States,2/19/23,23_0,-0.5,67.07121011904299,No
Game States,2/12/23,5_0,5.5,55.17048913340122,Yes
Non-game States,2/19/23,20_1,-3,66.91655813,No
Non-game States,2/12/23,0_1,1,68.20180573581713,Yes
Game States,2/19/23,19_1,-4,67.14711225496477,No
Non-game States,2/12/23,18_1,-5,66.83534897099173,Yes
Non-game States,2/19/23,7_1,8,50.696400898271605,No
Non-game States,2/12/23,3_0,3.5,65.60577984634523,Yes
Non-game States,2/12/23,4_0,4.5,60.562004613751746,Yes
Non-game States,2/19/23,19_0,-4.5,67.13207992006623,No
Non-game States,2/12/23,19_0,-4.5,66.85213343,Yes
Non-game States,2/12/23,2_1,3,66.46110409321318,Yes
Game States,2/12/23,8_1,9,49.13371031440589,Yes
Non-game States,2/19/23,0_1,1,66.58799428704609,No
Non-game States,2/19/23,9_0,9.5,49.40523787789553,No
Non-game States,2/19/23,17_1,-6,66.77318350297786,No
Non-game States,2/19/23,21_0,-2.5,66.85450819679534,No
Non-game States,2/12/23,1_1,2,67.55056966418157,Yes
Non-game States,2/12/23,9_0,9.5,49.18338082714102,Yes
Non-game States,2/19/23,8_0,8.5,50.06174806542095,No
Non-game States,2/19/23,18_0,-5.5,67.01802213543459,No
Non-game States,2/12/23,3_1,4,63.14843115010711,Yes
Non-game States,2/19/23,3_1,4,61.576143224676365,No
Game States,2/12/23,18_0,-5.5,67.00919046930561,Yes
Game States,2/19/23,9_0,9.5,48.589500916845495,No
Non-game States,2/12/23,23_0,-0.5,67.99924859592917,Yes
Non-game States,2/19/23,23_1,0,67.05486341968911,No
Non-game States,2/19/23,22_0,-1.5,66.85908351096587,No
Game States,2/12/23,21_1,-2,66.80163276923076,Yes
Non-game States,2/19/23,8_1,9,49.694409715245044,No
Game States,2/19/23,7_0,7.5,50.60004345,No
Game States,2/19/23,2_0,2.5,64.0877493,No
Game States,2/12/23,0_0,0.5,69.91085013878562,Yes
Game States,2/12/23,23_1,0,69.58495347848964,Yes
Non-game States,2/19/23,0_0,0.5,66.94994102393656,No
Non-game States,2/19/23,6_1,7,52.584294643536275,No
Game States,2/19/23,20_1,-3,66.61763575716536,No
Game States,2/19/23,22_1,-1,66.94755272001262,No
Game States,2/19/23,21_0,-2.5,66.8311872,No
Game States,2/12/23,19_0,-4.5,66.99638563856209,Yes
Game States,2/12/23,20_1,-3,66.40829779153303,Yes
Game States,2/12/23,22_0,-1.5,67.33664974154819,Yes
Game States,2/19/23,0_1,1,66.31696013572594,No
Game States,2/19/23,8_0,8.5,48.96283823938429,No
Non-game States,2/12/23,5_0,5.5,56.215479960021064,Yes
Game States,2/12/23,3_0,3.5,66.73907692090809,Yes
Game States,2/12/23,21_0,-2.5,66.56214898,Yes
Game States,2/19/23,17_1,-6,67.16768697896165,No
Game States,2/19/23,22_0,-1.5,66.77511626257514,No
Game States,2/19/23,8_1,9,48.77665898565356,No
Game States,2/12/23,2_1,3,68.14816079152189,Yes
Game States,2/12/23,19_1,-4,66.59270468340894,Yes
Game States,2/19/23,2_1,3,62.878766178489705,No
Game States,2/19/23,0_0,0.5,66.77529634076433,No
Game States,2/19/23,7_1,8,49.71726958055996,No
Game States,2/12/23,7_1,8,49.604891644805875,Yes
Game States,2/12/23,17_1,-6,66.89136957,Yes
Game States,2/12/23,6_0,6.5,51.77528390520833,Yes
Game States,2/12/23,8_0,8.5,49.306340414083024,Yes
Game States,2/19/23,5_1,6,53.32173699445005,No
Game States,2/12/23,22_1,-1,67.93339730513785,Yes
Game States,2/19/23,5_0,5.5,55.28652611105651,No
Game States,2/19/23,4_1,5,56.62295634935745,No
Game States,2/12/23,5_1,6,53.44392713650307,Yes
Game States,2/12/23,20_0,-3.5,66.79688131841432,Yes
Game States,2/12/23,3_1,4,63.72432803998334,Yes
Game States,2/12/23,2_0,2.5,67.88305696533153,Yes
Game States,2/12/23,0_1,1,69.85902007,Yes
Game States,2/12/23,7_0,7.5,50.30407799842767,Yes
Game States,2/19/23,18_1,-5,67.10608442537804,No
Game States,2/12/23,4_0,4.5,60.17960183142465,Yes
Game States,2/19/23,21_1,-2,66.72922970684759,No
Game States,2/19/23,3_0,3.5,61.47511923323735,No
Game States,2/19/23,1_0,1.5,65.90746300770778,No
Game States,2/12/23,6_1,7,50.92782482304099,Yes
Game States,2/12/23,18_1,-5,67.18623059505767,Yes
Game States,2/12/23,1_1,2,68.46531190137614,Yes
Game States,2/19/23,6_0,6.5,52.12309128120224,No
Game States,2/19/23,19_0,-4.5,67.21107228862974,No
Game States,2/19/23,3_1,4,60.16062807801724,No
Game States,2/12/23,4_1,5,57.52271021216545,Yes
Game States,2/19/23,1_1,2,65.14679522050224,No
Game States,2/12/23,9_0,9.5,49.17124134860453,Yes
Game States,2/12/23,1_0,1.5,69.14567661736335,Yes
Game States,2/19/23,18_0,-5.5,67.41677776413839,No
Game States,2/19/23,23_0,-0.5,67.12138138,No
Game States,2/19/23,6_1,7,51.051421351766514,No
